[06/12/2021 18:33]  System: WorldMap loading...
[06/12/2021 18:34]  System: Loading WorldMap markers..
[06/12/2021 18:34]  System: ..Banks_and_Healers.xml (18)
[06/12/2021 18:34]  System: ..Dungeons.xml (11)
[06/12/2021 18:34]  System: ..Dungeon_Gates.xml (303)
[06/12/2021 18:34]  System: ..Healer_Caravans.xml (24)
[06/12/2021 18:34]  System: ..Moongates.xml (8)
[06/12/2021 18:34]  System: ..POI.xml (130)
[06/12/2021 18:34]  System: ..Shrines.xml (8)
[06/12/2021 18:34]  System: ..Subterranean.xml (6)
[06/12/2021 18:34]  System: ..Townships.xml (8)
[06/12/2021 18:34]  System: WorldMap markers loaded (516)
[06/12/2021 18:34]  System: Welcome Empress Nympho!
[06/12/2021 18:34]  Empress Nympho: [Juicy AF, SQzD]
[06/12/2021 18:34]  You see: Empress Nympho
[06/12/2021 18:34]  You see: Philthy McNasty (Young)
[06/12/2021 18:34]  You see: PeterK (Young)
[06/12/2021 18:34]  a giant rat: *released*
[06/12/2021 18:34]  You see: a giant rat
[06/12/2021 18:34]  You see: Dusty the cook
[06/12/2021 18:34]  You see: Tadi the thief
[06/12/2021 18:34]  You see: Jayne the innkeeper
[06/12/2021 18:34]  You see: Carlton the stablemaster
[06/12/2021 18:34]  You see: HSB (Young)
[06/12/2021 18:34]  You see: Jake the barkeep
[06/12/2021 18:34]  You see: Colon the Town Crier
[06/12/2021 18:34]  You see: Alicia the tavern keeper
[06/12/2021 18:34]  Lomaxx: Adventurer Associate
[06/12/2021 18:34]  Lomaxx: [Henchman, Syn]
[06/12/2021 18:34]  You see: Lomaxx
[06/12/2021 18:34]  System: WorldMap loaded!
[06/12/2021 18:34]  Empress Nympho: [Juicy AF, SQzD]
[06/12/2021 18:34]  You see: Empress Nympho
[06/12/2021 18:34]  Oozaru: Guardian of Ossuary
[06/12/2021 18:34]  Oozaru: [Juicy, SQzD]
[06/12/2021 18:34]  You see: Oozaru
[06/12/2021 18:34]  You see: cloak
